"Epoch","base","base+","cutout","mixup","cutmix"
"146","0.244","0.3927","0.3594","0.3991","0.3409"
"147","0.2443","0.3902","0.3616","0.3876","0.3494"
"148","0.2439","0.3977","0.3543","0.3884","0.342"
"149","0.2426","0.3885","0.356","0.3952","0.3499"
"150","0.2441","0.3901","0.3539","0.3947","0.3437"
"151","0.2434","0.3894","0.3617","0.3929","0.345"
"152","0.2452","0.3974","0.3575","0.3897","0.3347"
"153","0.2425","0.3917","0.3687","0.4025","0.3427"
"154","0.2398","0.3922","0.3588","0.4077","0.3447"
"155","0.2413","0.3886","0.3589","0.3863","0.3412"
"156","0.2398","0.3905","0.3654","0.4048","0.3479"
"157","0.2417","0.3871","0.3554","0.4083","0.348"
"158","0.2373","0.392","0.3594","0.3963","0.3435"
"159","0.237","0.3879","0.354","0.3915","0.3393"
"160","0.2371","0.3957","0.3596","0.4031","0.3378"
"161","0.2414","0.4113","0.3737","0.4139","0.3524"
"162","0.2422","0.409","0.3735","0.4165","0.3527"
"163","0.2412","0.4115","0.3772","0.4162","0.3531"
"164","0.2424","0.4086","0.3776","0.408","0.357"
"165","0.2404","0.4092","0.3688","0.4113","0.3581"
"166","0.2399","0.4098","0.3789","0.4065","0.3596"
"167","0.239","0.4138","0.3768","0.4122","0.3521"
"168","0.2383","0.4087","0.3742","0.4137","0.3549"
"169","0.2401","0.4147","0.3779","0.4184","0.3602"
"170","0.2385","0.4123","0.3774","0.4226","0.3591"
"171","0.2393","0.4149","0.3792","0.4186","0.3563"
"172","0.2372","0.4104","0.3755","0.4123","0.3611"
"173","0.2389","0.4133","0.3748","0.4145","0.3622"
"174","0.2387","0.415","0.378","0.4185","0.3579"
"175","0.2356","0.4134","0.3754","0.4132","0.3588"
"176","0.2366","0.415","0.3789","0.4125","0.3592"
"177","0.2368","0.4168","0.3767","0.4172","0.3601"
"178","0.2363","0.4133","0.3767","0.4202","0.3578"
"179","0.2366","0.4168","0.3764","0.419","0.3574"
"180","0.2353","0.4164","0.376","0.4142","0.354"
"181","0.2378","0.4165","0.3747","0.4157","0.3579"
"182","0.2372","0.4155","0.3735","0.4092","0.3542"
"183","0.2363","0.4172","0.3727","0.41","0.3562"
"184","0.2354","0.4145","0.3768","0.4182","0.3548"
"185","0.235","0.4177","0.3737","0.4146","0.3569"
"186","0.2361","0.4161","0.3762","0.4187","0.354"
"187","0.2359","0.4163","0.373","0.4255","0.359"
"188","0.2349","0.4157","0.3758","0.4212","0.3554"
