"Epoch","base","base+","cutout","mixup","cutmix"
"186","0.7038","0.7619","0.765","0.7673","0.7724"
"187","0.7024","0.7609","0.7665","0.7643","0.7717"
"188","0.702","0.76","0.7667","0.768","0.7717"
"189","0.7029","0.7605","0.7653","0.7702","0.7731"
"190","0.7019","0.7618","0.7655","0.7697","0.7714"
"191","0.7045","0.7617","0.7649","0.7596","0.7725"
"192","0.7027","0.7626","0.7638","0.7635","0.776"
"193","0.7034","0.762","0.762","0.7733","0.7744"
"194","0.7021","0.7608","0.7638","0.7697","0.7752"
"195","0.704","0.7595","0.7677","0.7695","0.77"
"196","0.7015","0.7614","0.7682","0.7704","0.7738"
"197","0.7031","0.7608","0.7661","0.7734","0.7739"
"198","0.7019","0.7618","0.7655","0.7708","0.7739"
"199","0.7025","0.7618","0.7668","0.7643","0.7709"
"200","0.7002","0.7589","0.769","0.7743","0.7733"
